City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bemidji,47.4736,-94.8803,53.19,40,0,23.02,US,1729883117
83,hermanus,-34.4187,19.2345,59.81,83,0,10.51,ZA,1729883209
84,itanhem,-17.1664,-40.33,92.73,40,100,9.93,BR,1729883391
85,san julian,21.0167,-102.1667,76.89,23,0,8.1,MX,1729883393
86,crane,31.3974,-102.3501,76.41,30,3,9.82,US,1729883394
87,ciudad bolivar,8.1222,-63.5497,91.63,46,100,4.03,VE,1729883395
88,sigli,5.3848,95.9609,79.7,76,71,5.14,ID,1729883396
89,camana,-16.6228,-72.7111,67.53,75,24,9.19,PE,1729883397
90,newport,51.5877,-2.9984,56.44,84,71,7.29,GB,1729883198
91,eyl,7.9803,49.8164,80.13,81,29,8.25,SO,1729883373
92,brookings,44.3114,-96.7984,53.6,53,0,9.22,US,1729883396
93,coxen hole,16.3244,-86.5366,81.68,89,40,6.91,HN,1729883234
94,qaqortoq,60.7167,-46.0333,31.68,68,0,26.17,GL,1729883403
95,aykhal,66.0,111.5,5.63,95,100,5.35,RU,1729883244
96,thompson,55.7435,-97.8558,35.73,63,3,10.0,CA,1729883406
97,mili,6.0815,171.735,82.33,76,11,6.02,MH,1729883407
98,anadyr,64.75,177.4833,27.1,86,75,20.13,RU,1729883408
99,carnarvon,-24.8667,113.6333,65.88,72,0,25.34,AU,1729883409
100,woolgoolga,-30.1106,153.2007,58.87,81,54,12.75,AU,1729883410
101,myitkyina,25.3833,97.4,67.48,92,14,2.77,MM,1729883412
102,karlskrona,56.1616,15.5866,50.45,92,3,5.66,SE,1729883405
103,morris,40.8334,-74.5329,63.73,37,20,6.91,US,1729883414
104,college,64.8569,-147.8028,12.15,85,40,0.0,US,1729883415
105,port lincoln,-34.7333,135.8667,58.8,82,100,12.64,AU,1729883416
106,port mathurin,-19.6833,63.4167,74.28,89,100,20.62,MU,1729883418
107,maslyanino,54.3436,84.2111,46.06,73,100,14.61,RU,1729883419
108,philadelphia,39.9523,-75.1638,66.06,36,0,10.36,US,1729882564
109,wanning,18.8003,110.3967,75.56,59,100,15.95,CN,1729883421
110,al bahah,20.0129,41.4677,63.72,62,19,6.55,SA,1729883353
111,kargasok,59.0556,80.8572,38.62,94,100,4.88,RU,1729883424
112,petropavlovsk-kamchatsky,53.0452,158.6483,32.59,60,0,6.71,RU,1729883425
113,bandon,51.7469,-8.7425,53.19,90,85,16.93,IE,1729883426
114,calvinia,-31.4707,19.776,64.02,23,0,5.55,ZA,1729883427
115,phan rang-thap cham,11.5667,108.9833,74.93,94,100,4.23,VN,1729883428
116,ola,59.5833,151.2833,22.82,92,97,4.72,RU,1729883430
117,angaur state,6.906,134.13,83.44,73,100,25.23,PW,1729883335
118,new norfolk,-42.7826,147.0587,39.7,97,16,2.82,AU,1729883433
119,road town,18.4167,-64.6167,89.64,66,20,6.91,VG,1729883406
120,pleasanton,37.6624,-121.8747,72.75,40,100,0.63,US,1729883436
121,atafu village,-8.5421,-172.5159,82.81,78,23,17.49,TK,1729883438
122,barra de sao francisco,-18.755,-40.8908,90.91,41,100,5.26,BR,1729883439
123,ugoofaaru,5.6667,73.0,81.18,84,100,13.82,MV,1729883440
124,sampit,-2.5333,112.95,74.17,98,100,0.96,ID,1729883441
125,yanbu,24.0891,38.0637,87.84,51,40,0.0,SA,1729883443
126,carupano,10.6678,-63.2585,87.78,61,100,11.92,VE,1729883444
127,wailua homesteads,22.0669,-159.378,79.59,83,20,8.05,US,1729883445
128,anderson,34.5334,-82.6499,81.79,34,0,4.61,US,1729883282
129,portland,45.5234,-122.6762,61.81,49,75,14.97,US,1729882587
130,oranjemund,-28.55,16.4333,56.93,88,72,16.75,NA,1729883407
131,saudarkrokur,65.7461,-19.6394,35.2,88,34,15.41,IS,1729883449
132,greenville,35.6127,-77.3663,74.14,38,0,0.0,US,1729883441
133,hammerfest,70.6634,23.6821,41.45,81,40,43.73,NO,1729883452
134,vilyuysk,63.7553,121.6247,-6.23,100,92,2.66,RU,1729883453
135,baiquan,47.5833,126.0833,33.96,61,100,6.4,CN,1729883455
136,hawaiian paradise park,19.5933,-154.9731,76.87,95,100,6.91,US,1729883456
137,kotovsk,47.7531,29.532,46.56,64,12,5.17,UA,1729883457
138,newman,37.3138,-121.0208,73.96,24,100,3.22,US,1729883458
139,san fernando del valle de catamarca,-28.4696,-65.7852,76.77,41,10,30.02,AR,1729883266
140,nova sintra,14.8667,-24.7167,80.73,78,99,17.74,CV,1729883461
141,fisterra,42.9049,-9.2629,58.6,65,88,16.11,ES,1729883462
142,manakara,-22.1333,48.0167,71.65,88,66,6.87,MG,1729883463
143,zyryanovsk,49.7386,84.2719,41.81,91,100,3.8,KZ,1729883464
144,farsan,32.2569,50.561,45.19,19,0,0.81,IR,1729883465
145,papao,-17.75,-149.55,78.48,82,100,28.19,PF,1729883467
146,keflavik,64.0049,-22.5624,41.43,75,75,26.46,IS,1729883354
147,enewetak,11.3474,162.3373,79.18,92,100,24.94,MH,1729883469
148,ghadamis,30.1337,9.5007,82.13,21,100,9.57,LY,1729883470
149,puerto carreno,6.189,-67.4859,92.3,52,100,4.38,CO,1729883471
150,kill devil hills,36.0307,-75.676,67.98,53,0,4.61,US,1729883324
151,ilulissat,69.2167,-51.1,32.02,59,100,19.57,GL,1729883474
152,tadine,-21.55,167.8833,74.26,86,76,3.38,NC,1729883475
153,el granada,37.5027,-122.4694,71.42,51,0,0.0,US,1729883476
154,savanna-la-mar,18.219,-78.1332,85.93,72,32,1.28,JM,1729883477
155,aban,56.67,96.06,43.16,88,100,14.99,RU,1729883478
156,misratah,32.3754,15.0925,72.84,55,100,13.6,LY,1729883480
157,igarka,67.4667,86.5833,18.32,95,100,7.02,RU,1729883481
158,port-gentil,-0.7193,8.7815,78.67,84,93,11.77,GA,1729883482
159,udachny,66.4167,112.4,-4.43,100,99,3.65,RU,1729883483
160,saipan,15.1355,145.701,83.1,78,100,11.5,MP,1729883484
161,zaozersk,69.4005,32.4476,44.49,81,100,25.34,RU,1729883485
162,el paujil,1.5701,-75.3286,93.74,35,47,7.72,CO,1729883487
163,naze,28.3667,129.4833,76.78,85,100,12.19,JP,1729883488
164,hasaki,35.7333,140.8333,70.21,68,100,14.14,JP,1729883491
165,santa rosalia,27.3167,-112.2833,88.74,22,2,5.41,MX,1729883492
166,belaya glina,46.07,40.86,48.67,70,90,10.51,RU,1729883493
167,prince rupert,54.3161,-130.3201,47.89,72,0,12.66,CA,1729883477
168,phanat nikhom,13.4458,101.1844,78.98,86,90,4.45,TH,1729883495
169,manggar,-2.8833,108.2667,78.66,85,82,4.99,ID,1729883497
170,toliara,-23.35,43.6667,76.1,76,4,5.53,MG,1729883498
171,rosarito,32.3333,-117.0333,72.52,66,1,5.26,MX,1729883399
172,olyokminsk,60.3736,120.4264,11.95,98,82,2.53,RU,1729883502
173,port saint john's,-31.6229,29.5448,65.62,71,100,11.77,ZA,1729883503
174,vegreville,53.5001,-112.0518,43.97,38,16,9.31,CA,1729883264
175,abeche,13.8292,20.8324,85.82,19,15,11.3,TD,1729883506
176,prince george,53.9166,-122.753,36.63,84,100,3.0,CA,1729883337
177,dudinka,69.4058,86.1778,-4.18,96,14,6.08,RU,1729883509
178,urangan,-25.3,152.9,70.9,69,63,10.42,AU,1729883510
179,merizo village,13.2658,144.6691,81.16,91,99,11.65,GU,1729883511
180,mangrol,21.1167,70.1167,82.69,59,4,5.79,IN,1729883512
181,muisne,0.6,-80.0333,78.1,76,93,11.86,EC,1729883513
182,akom ii,2.7833,10.5667,70.29,99,99,2.06,CM,1729883514
183,kavaratti,10.5669,72.642,81.95,82,43,5.37,IN,1729883516
184,thakhek,17.4103,104.8307,67.42,59,100,3.31,LA,1729883517
185,tindouf,27.6711,-8.1474,82.85,20,0,8.05,DZ,1729883518
186,lihue,21.9789,-159.3672,80.19,69,20,8.05,US,1729883519
187,salta,-24.7859,-65.4117,85.57,37,9,7.0,AR,1729883318
188,uturoa,-16.7333,-151.4333,78.64,76,100,23.67,PF,1729883522
189,talnakh,69.4865,88.3972,-0.2,88,4,2.37,RU,1729883523
190,kodiak,57.79,-152.4072,44.11,87,100,12.66,US,1729883524
191,huai'an,33.5886,119.0192,56.98,94,86,7.67,CN,1729883525
192,ambalangoda,6.2355,80.0538,83.98,84,60,4.03,LK,1729883526
193,sen monorom,12.45,107.2,65.39,88,100,2.17,KH,1729883528
194,longyearbyen,78.2186,15.6401,37.24,75,75,4.61,SJ,1729883529
195,khandyga,62.6667,135.6,13.5,95,100,4.97,RU,1729883311
196,kovdor,67.5662,30.4758,42.69,87,100,13.6,RU,1729883532
197,kerikeri,-35.2268,173.9474,64.9,93,100,13.0,NZ,1729883533
198,vallenar,-28.5708,-70.7581,80.58,19,0,10.83,CL,1729883535
199,antalaha,-14.9003,50.2788,72.37,90,12,6.35,MG,1729883536
200,east london,-33.0153,27.9116,62.11,76,68,14.03,ZA,1729883378
201,huaiyuan chengguanzhen,32.9589,117.1657,56.86,96,15,6.82,CN,1729883539
202,pontianak,-0.0333,109.3333,78.78,94,100,2.3,ID,1729883540
203,georgetown,5.4112,100.3354,76.95,93,20,3.44,MY,1729883541
